steps,episode_reward,episode_length,completed
93,41.248171,93,False
197,45.428989,104,False
317,46.096176,120,True
417,39.952151,100,False
514,41.493601,97,False
634,70.449719,120,True
754,63.857113,120,True
874,53.881962,120,True
976,47.000808,102,False
1096,51.834371,120,True
1216,51.136092,120,True
1336,56.141324,120,True
1456,61.055558,120,True
1576,53.496096,120,True
1696,66.005878,120,True
1816,47.153061,120,True
1936,61.413742,120,True
2056,57.1122,120,True
2176,64.371428,120,True
2296,58.827703,120,True
2416,49.243675,120,True
2527,42.859875,111,False
2647,63.676778,120,True
2767,40.571407,120,True
2887,58.74512,120,True
3007,57.697607,120,True
3112,40.426416,105,False
3213,42.720257,101,False
3333,57.591115,120,True
3453,64.089007,120,True
3573,58.850186,120,True
3671,43.827332,98,False
3791,58.670082,120,True
3911,57.783635,120,True
4031,70.118077,120,True
4151,67.020983,120,True
4271,65.105012,120,True
4369,40.735177,98,False
4468,42.313847,99,False
4588,55.365156,120,True
4701,42.797678,113,False
4821,71.709558,120,True
4941,67.903753,120,True
5061,60.399474,120,True
5159,41.466628,98,False
5279,66.3509,120,True
5399,55.335847,120,True
5519,68.381103,120,True
5639,71.45526,120,True
5759,56.686806,120,True
5879,66.413318,120,True
5999,58.017947,120,True
6092,40.994886,93,False
6212,66.021791,120,True
6332,57.86952,120,True
6426,42.302816,94,False
6544,42.571101,118,False
6664,57.110893,120,True
6784,61.169714,120,True
6904,57.301849,120,True
7024,58.953152,120,True
7120,36.75951,96,False
7240,57.772113,120,True
7337,41.398555,97,False
7457,62.746601,120,True
7577,61.581191,120,True
7697,66.144312,120,True
7817,46.702531,120,True
7909,40.665966,92,False
8029,57.764043,120,True
8125,41.002454,96,False
8245,58.417783,120,True
8343,44.089073,98,False
8437,39.90899,94,False
8557,55.742804,120,True
8677,44.670501,120,True
8797,62.978834,120,True
8917,61.329604,120,True
9037,40.007499,120,False
9157,71.95934,120,True
9261,42.170403,104,False
9381,70.862339,120,True
9498,43.768847,117,False
9618,68.654325,120,True
9738,65.188504,120,True
9830,41.659751,92,False
9950,60.581434,120,True
10070,64.185992,120,True
10190,65.801905,120,True
10310,66.973487,120,True
10430,45.192636,120,True
10550,67.335145,120,True
10670,68.781473,120,True
10790,71.471968,120,True
10910,66.317767,120,True
11030,59.208966,120,True
11150,74.992882,120,True
11270,60.581162,120,True
11390,55.502413,120,True
11510,72.258082,120,True
11630,69.067989,120,True
11750,65.406994,120,True
11864,45.679011,114,False
11984,69.911013,120,True
12104,57.728984,120,True
12221,56.498908,117,False
12341,67.894489,120,True
12461,59.061341,120,True
12581,57.136571,120,True
12701,58.532973,120,True
12821,52.062113,120,True
12941,72.244021,120,True
13061,72.851901,120,True
13181,67.327686,120,True
13292,46.616639,111,False
13386,45.553732,94,False
13506,62.06175,120,True
13615,49.623998,109,False
13735,64.361829,120,True
13837,45.295791,102,False
13957,55.216566,120,True
14077,62.692534,120,True
14197,56.145347,120,True
14317,71.360521,120,True
14437,66.029071,120,True
14557,48.923538,120,True
14655,46.178906,98,False
14775,47.355069,120,True
14881,45.151082,106,False
15001,59.263953,120,True
15121,63.808274,120,True
15241,54.194454,120,True
15361,53.15068,120,True
15461,50.496979,100,False
15581,67.726893,120,True
15681,42.827775,100,False
15781,45.179781,100,False
15901,71.263035,120,True
16021,65.246134,120,True
16141,65.580568,120,True
16261,65.994254,120,True
16362,40.228383,101,False
16482,56.763642,120,True
16602,71.429688,120,True
16722,65.146393,120,True
16842,58.770972,120,True
16962,50.722212,120,True
17082,67.20284,120,True
17202,70.37874,120,True
17322,63.216572,120,True
17442,62.253732,120,True
17562,67.407007,120,True
17682,55.742661,120,False
17781,42.259037,99,False
17901,71.062459,120,True
18021,68.832476,120,True
18141,55.815139,120,True
18261,52.600846,120,True
18381,60.442115,120,True
18501,56.623248,120,True
18621,63.59706,120,True
18741,65.864873,120,True
18861,53.8146,120,True
18981,74.161892,120,True
19101,71.7705,120,True
19202,43.786742,101,False
19296,42.038016,94,False
19416,68.380838,120,True
19536,56.166316,120,True
19635,44.41317,99,False
19755,59.874561,120,True
19863,46.343953,108,False
19983,61.803743,120,True
20086,44.830698,103,False
20199,51.302383,113,False
20300,44.267181,101,False
20420,72.892839,120,True
20519,44.336543,99,False
20639,55.178311,120,True
20759,60.713471,120,True
20879,62.056708,120,True
20999,60.078192,120,True
21119,62.045678,120,True
21231,41.998344,112,False
21351,60.257001,120,True
21471,74.181643,120,True
21562,42.992901,91,False
21655,42.849295,93,False
21775,60.298891,120,True
21895,64.889992,120,True
21988,44.204867,93,False
22078,43.449408,90,False
22198,62.688202,120,True
22318,67.799477,120,True
22438,66.565738,120,True
22558,54.201993,120,True
22678,66.396592,120,True
22798,56.250925,120,True
22918,71.165546,120,True
23038,64.551072,120,True
23142,45.837677,104,False
23262,50.205139,120,True
23382,62.693614,120,True
23488,44.591669,106,False
23608,71.378616,120,True
23728,55.80264,120,False
23848,73.31497,120,True
23955,44.985501,107,False
24057,41.759553,102,False
24167,42.874155,110,False
24253,40.377442,86,False
24373,70.367791,120,True
24493,69.282969,120,True
24613,57.805329,120,True
24707,44.943241,94,False
24827,71.116507,120,True
24947,47.891294,120,True
25047,44.983339,100,False
25167,72.305357,120,True
25287,70.773426,120,True
25407,56.450683,120,True
25502,44.593967,95,False
25622,74.165784,120,True
25742,56.736467,120,True
25862,54.752185,120,True
25982,50.401272,120,True
26102,70.111265,120,True
26222,51.766693,120,True
26320,47.772905,98,False
26440,72.667798,120,True
26560,76.797433,120,True
26680,51.30413,120,True
26800,68.492345,120,True
26920,63.174268,120,True
27040,61.267897,120,True
27160,75.749045,120,True
27280,62.738056,120,True
27383,42.064987,103,False
27472,43.1563,89,False
27592,62.151212,120,True
27712,59.396537,120,True
27806,44.142686,94,False
27926,59.262435,120,True
28046,56.382018,120,True
28149,39.693815,103,False
28248,46.960783,99,False
28352,42.459375,104,False
28472,70.867438,120,True
28588,59.493983,116,False
28708,70.113222,120,True
28828,66.961125,120,True
28948,70.044348,120,True
29068,47.577347,120,True
29188,55.608084,120,True
29308,52.675843,120,True
29428,63.433771,120,True
29548,60.562657,120,True
29668,69.71437,120,True
29788,70.468238,120,True
29908,50.241606,120,True
30028,71.957882,120,True
30148,69.418125,120,True
30247,45.074423,99,False
30367,67.488047,120,True
30470,43.697472,103,False
30590,69.344706,120,True
30710,59.979957,120,True
30830,65.466254,120,True
30950,62.876796,120,True
31070,76.734431,120,True
31171,43.957799,101,False
31291,60.053897,120,True
31411,72.999654,120,True
31531,66.639971,120,True
31651,57.259574,120,True
31771,57.371549,120,True
31873,44.465094,102,False
31993,66.527417,120,True
32113,61.151346,120,True
32233,55.734416,120,True
32353,72.280344,120,True
32473,62.561103,120,True
32590,50.114338,117,False
32698,48.86284,108,False
32818,59.759573,120,True
32938,49.425541,120,True
33058,58.401995,120,True
33164,42.548549,106,False
33284,54.311482,120,True
33404,55.330358,120,True
33524,56.853462,120,True
33629,48.910964,105,False
33730,48.388855,101,False
33850,58.750147,120,True
33970,59.54335,120,True
34090,57.859998,120,True
34210,59.949764,120,True
34330,49.254017,120,True
34450,50.496174,120,True
34570,66.637176,120,True
34658,42.930625,88,False
34778,58.845823,120,True
34898,77.351787,120,True
35018,73.772379,120,True
35138,62.88144,120,True
35258,64.83054,120,True
35378,59.904032,120,True
35498,54.965831,120,True
35618,75.615268,120,True
35724,42.816026,106,False
35830,43.558502,106,False
35950,65.764384,120,True
36067,41.72276,117,False
36187,64.869224,120,True
36291,50.680313,104,False
36407,48.875297,116,False
36527,60.107551,120,True
36647,53.492662,120,False
36767,63.812766,120,True
36887,62.533011,120,True
37007,60.4856,120,True
37127,73.159918,120,True
37247,63.403405,120,True
37367,66.421133,120,True
37487,61.572025,120,True
37607,61.416305,120,True
37727,66.762453,120,True
37827,44.401172,100,False
37947,58.664328,120,True
38067,63.895799,120,True
38187,59.442227,120,True
38307,51.282945,120,True
38427,63.359118,120,True
38547,47.798193,120,True
38667,69.258797,120,True
38787,73.667809,120,True
38892,46.474836,105,False
39012,50.148663,120,True
39132,76.775558,120,True
39252,73.263405,120,True
39372,66.062901,120,True
39492,68.828081,120,True
39612,49.157221,120,True
39732,63.373132,120,True
39852,63.771537,120,True
39972,63.896926,120,True
40092,58.148138,120,True
40212,59.243158,120,True
40332,51.17679,120,True
40432,39.068519,100,False
40542,53.592532,110,False
40662,77.259386,120,True
40782,66.037196,120,True
40902,73.089648,120,True
41022,55.917705,120,True
41142,76.744355,120,True
41262,70.491515,120,True
41382,73.564808,120,True
41481,47.170258,99,False
41601,58.207037,120,True
41721,58.281568,120,False
41841,69.369587,120,True
41961,64.132827,120,True
42081,67.132879,120,True
42201,76.801682,120,True
42321,69.776335,120,True
42441,74.767127,120,True
42561,72.213809,120,True
42681,74.945342,120,True
42801,65.089242,120,True
42921,65.736876,120,True
43041,71.567362,120,True
43161,78.424722,120,True
43281,74.552862,120,True
43401,67.13376,120,True
43521,72.94211,120,True
43641,59.823209,120,True
43761,76.48649,120,True
43881,76.561678,120,True
44001,56.357566,120,True
44121,66.44102,120,True
44241,70.301716,120,True
44361,64.714495,120,True
44481,56.798209,120,True
44601,75.243376,120,True
44721,63.850924,120,True
44818,43.241715,97,False
44924,43.052688,106,False
45044,65.006666,120,True
45164,57.833207,120,True
45284,75.824253,120,True
45404,58.572616,120,True
45524,69.823145,120,True
45644,76.300493,120,True
45764,57.260618,120,True
45884,67.509403,120,True
45977,43.054313,93,False
46097,67.124832,120,True
46217,78.525149,120,True
46319,46.257963,102,False
46439,68.32784,120,True
46546,48.788663,107,False
46666,76.625077,120,True
46786,70.106577,120,True
46906,76.970647,120,True
47026,60.652451,120,True
47146,58.947392,120,True
47266,73.161429,120,True
47386,70.475562,120,True
47486,47.871372,100,False
47595,41.169617,109,False
47715,72.231664,120,True
47835,65.653422,120,True
47955,60.42902,120,True
48075,56.098752,120,True
48188,49.956008,113,False
48308,77.093119,120,True
48428,66.898297,120,True
48548,70.666119,120,True
48668,65.735256,120,True
48788,70.747715,120,True
48908,67.394189,120,True
49028,59.003543,120,True
49148,76.90255,120,True
49237,43.788006,89,False
49357,61.531599,120,True
49477,73.115516,120,True
49579,47.293376,102,False
49699,71.83827,120,True
